╧;мЮХЛЕМНБЮМХЕ;цНД;бНГПЮЯР ЙНЛОЮМХХ, КЕР;яРЮРСЯ;нПЦЮМХГЮЖХНММН-ОПЮБНБЮЪ ТНПЛЮ;тНПЛЮ ЯНАЯРБЕММНЯРХ;нАНПНРМШЕ ЮЙРХБШ, RUB;юЙРХБШ  БЯЕЦН, RUB;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ), RUB;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;яНБНЙСОМШИ ДНКЦ, RUB;бШПСВЙЮ, RUB;йНЩТТХЖХЕМР НАНПЮВХБЮЕЛНЯРХ ЯНБНЙСОМШУ ЮЙРХБНБ, %;нАНПНРМШЕ ЮЙРХБШ МЮ ЕДХМХЖС ЮЙРХБНБ;юЙРХБШ  БЯЕЦН МЮ ЕДХМХЖС ЮЙРХБНБ;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ) МЮ ЕДХМХЖС ЮЙРХБНБ;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;яНБНЙСОМШИ ДНКЦ МЮ ЕДХМХЖС ЮЙРХБНБ;бШПСВЙЮ МЮ ЕДХМХЖС ЮЙРХБНБ;цНЯ ЯНАЯРБЕММНЯРЭ;вЮЯРХВМЮЪ;вЮЯРМЮЪ;юн;цНЯ ЯНАЯРБЕММНЯРЭ;яЕКЭЯЙНЕ УНГБН;мЕЙНЛ;йННОЕПЮРХБШ;ннн
1;юлспрнпц28, ннн;20,00;3,50;1,00;5,00;0,00;130578000,00;152615000,00;-30953000,00;17612000,00;164956000,00;182568000,00;334000,00;0,00;0,86;1,00;-0,20;0,12;1,08;1,20;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2;дфюкшйнбн, юн;20,00;21,50;1,00;0,00;0,00;16382000,00;40817000,00;2790000,00;13920000,00;5173000,00;19093000,00;8053000,00;0,20;0,40;1,00;0,07;0,34;0,13;0,47;0,20;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
3;дчпрчкхмяйхи йнлахмюр лнкнвмшу опндсйрнб, юн;20,00;24,50;1,00;0,00;0,00;634318000,00;994151000,00;-104884000,00;164467000,00;708470000,00;872937000,00;240000,00;0,00;0,64;1,00;-0,11;0,17;0,71;0,88;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
4;ксфяйхи ййг, юн;20,00;27,00;1,00;0,00;0,00;464638000,00;1779447000,00;-849560000,00;16021000,00;1540324000,00;1556345000,00;888234000,00;0,46;0,26;1,00;-0,48;0,01;0,87;0,87;0,50;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
5;люъй, ннн;20,00;17,00;1,00;5,00;0,00;1243000,00;163988000,00;-85584000,00;137409000,00;105591000,00;243000000,00;23137000,00;0,11;0,01;1,00;-0,52;0,84;0,64;1,48;0,14;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
6;оюьйнбяйне, ннн;20,00;28,00;1,00;5,00;0,00;73732000,00;88926000,00;31663000,00;5155000,00;16767000,00;21922000,00;8959000,00;0,10;0,83;1,00;0,36;0,06;0,19;0,25;0,10;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
7;пюгднкэе, ннн;20,00;28,50;1,00;5,00;0,00;9607000,00;17760000,00;-6600000,00;4913000,00;16784000,00;21697000,00;4622000,00;0,27;0,54;1,00;-0,37;0,28;0,95;1,22;0,26;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
8;пюяябер, ннн;20,00;9,00;1,00;5,00;0,00;3360000,00;3360000,00;-33430000,00;24907000,00;11743000,00;36650000,00;218000,00;0,02;1,00;1,00;-9,95;7,41;3,49;10,91;0,06;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
9;пняюцпн, ннн;20,00;6,50;1,00;5,00;0,00;99959000,00;136411000,00;21400000,00;14686000,00;98173000,00;112859000,00;132728000,00;0,92;0,73;1,00;0,16;0,11;0,72;0,83;0,97;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
10;ябхмнйнлокейя бнкфяйхи, ннн;20,00;14,50;1,00;5,00;0,00;44632000,00;156980000,00;-462088000,00;561431000,00;41750000,00;603181000,00;3914000,00;0,01;0,28;1,00;-2,94;3,58;0,27;3,84;0,02;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
11;ярюпши охбнбюп, гюн йнлоюмхъ;20,00;24,00;1,00;0,00;0,00;33712000,00;34701000,00;-63444000,00;22485000,00;74660000,00;97145000,00;470000,00;0,02;0,97;1,00;-1,83;0,65;2,15;2,80;0,01;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
12;спсуяйхи йнмяепбмши гюбнд, юн;20,00;18,50;1,00;0,00;0,00;20737000,00;27473000,00;-342290000,00;19570000,00;257333000,00;276903000,00;671000,00;0,03;0,75;1,00;-12,46;0,71;9,37;10,08;0,02;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
13;гюпевмюъ, ннн юцпнтхплю;19,00;14,00;1,00;5,00;0,00;13258000,00;63648000,00;1793000,00;24995000,00;23497000,00;48492000,00;152000,00;0,00;0,21;1,00;0,03;0,39;0,37;0,76;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
14;гюбнд лхмепюкэмшу бнд делхднбяйхи, ннн;19,00;16,50;1,00;5,00;0,00;382002000,00;382002000,00;3139000,00;90000000,00;288853000,00;378853000,00;125000,00;0,00;1,00;1,00;0,01;0,24;0,76;0,99;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
15;йлг, ннн;19,00;8,00;1,00;5,00;0,00;88887000,00;90684000,00;69000,00;16215000,00;74389000,00;90604000,00;13650000,00;0,15;0,98;1,00;0,00;0,18;0,82;1,00;0,15;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
16;яхмепдфх пхреик, ннн;19,00;6,50;1,00;5,00;0,00;335955000,00;337817000,00;193000,00;4000,00;334621000,00;334625000,00;32360000,00;0,08;0,99;1,00;0,00;0,00;0,99;0,99;0,10;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
17;ярпнидбнп, юн;19,00;22,50;1,00;0,00;0,00;168367000,00;168367000,00;34719000,00;97587000,00;35982000,00;133569000,00;2035000,00;0,01;1,00;1,00;0,21;0,58;0,21;0,79;0,01;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
18;оеярнбяйне пюион;17,00;28,00;1,00;0,00;0,00;398839000,00;404825000,00;4569000,00;21000,00;313012000,00;313033000,00;8219000,00;0,02;0,99;1,00;0,01;0,00;0,77;0,77;0,02;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
